SUBSTÂNCIA;CÓDIGO GGREM;REGISTRO;EAN 1;EAN 2;EAN 3;PRODUTO;APRESENTAÇÃO
"21-ACETATO DE DEXAMETASONA;CLOTRIMAZOL";538912020009303;1705600230032;7891106000956;    -     ;    -     ;BAYCUTEN N;10 MG/G + 0,443 MG/G CREM DERM CT BG AL X 40 G
ABATACEPTE;505107701157215;1018003900019;7896016806469;    -     ;    -     ;ORENCIA;250 MG PO LIOF SOL INJ CT 1 FA + SER DESCARTÁVEL
ABATACEPTE;505113030019605;1018003900027;7896016807442;    -     ;    -     ;ORENCIA;125 MG/ML SOL INJ SC CT SER PREENCHIDA
ABATACEPTE;505113100020505;1018003900078;7896016808197;    -     ;    -     ;ORENCIA;125 MG/ML SOL INJ SC CT 4 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO
ABCIXIMABE;514517110034217;1123634150015;7896212452453;    -     ;    -     ;REOPRO;2 MG/ML SOL INJ CT FA VD INC X 5 ML
ABCIXIMABE;507602501155210;1126000100027;7896382701801;    -     ;    -     ;REOPRO;2 MG/ML SOL INJ CT FA VD INC X 5 ML
ABEMACICLIBE;507619060021902;1126001990018;7896382708442;    -     ;    -     ;VERZENIOS;50 MG COM REV CT BL AL AL X 30
ABEMACICLIBE;507619060022002;1126001990026;7896382708459;    -     ;    -     ;VERZENIOS;50 MG COM REV CT BL AL AL X 60
ABEMACICLIBE;507619060022102;1126001990034;7896382708466;    -     ;    -     ;VERZENIOS;100 MG COM REV CT BL AL AL X 30
ABEMACICLIBE;507619060022202;1126001990042;7896382708473;    -     ;    -     ;VERZENIOS;100 MG COM REV CT BL AL AL X 60
ABEMACICLIBE;507619060022302;1126001990050;7896382708480;    -     ;    -     ;VERZENIOS;150 MG COM REV CT BL AL AL X 30
ABEMACICLIBE;507619060022402;1126001990069;7896382708497;    -     ;    -     ;VERZENIOS;150 MG COM REV CT BL AL AL X 60
ABEMACICLIBE;507619060022502;1126001990077;7896382708503;    -     ;    -     ;VERZENIOS;200 MG COM REV CT BL AL AL X 30
ABEMACICLIBE;507619060022602;1126001990085;7896382708510;    -     ;    -     ;VERZENIOS;200 MG COM REV CT BL AL AL X 60
ABROCITINIBE;522723100092502;1211004910013;7891045164573;    -     ;    -     ;CIBINQO;50 MG COM REV CT FR PLAS PEAD OPC X 30
ABROCITINIBE;522723100092602;1211004910021;7891045164580;    -     ;    -     ;CIBINQO;100 MG COM REV CT FR PLAS PEAD OPC X 30
ABROCITINIBE;522723100092702;1211004910031;7891045164597;    -     ;    -     ;CIBINQO;200 MG COM REV CT FR PLAS PEAD OPC X 30
ACALABRUTINIBE;502319040034002;1161802690010;5000456031998;    -     ;    -     ;CALQUENCE;100 MG CAP DURA CT BL AL AL X 60
ACARBOSE;531619040086803;1356900350024;7894916503754;7896004771793;    -     ;AGLUCOSE;50 MG COM CT BL AL AL X 30
ACARBOSE;531619040086903;1356900350075;7894916503761;7896004771809;    -     ;AGLUCOSE;100 MG COM CT BL AL AL X 30
ACARBOSE;538912050014213;1705600740073;7891106001731;    -     ;    -     ;GLUCOBAY;50 MG COM CT BL AL/AL X 30
ACARBOSE;538912050014313;1705600740091;7891106001748;    -     ;    -     ;GLUCOBAY;100 MG COM CT BL AL/AL X 30
ACEBROFILINA;508017401132117;1004307850011;7891317002688;    -     ;    -     ;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + COP
ACEBROFILINA;508017402139115;1004307850021;7891317002695;    -     ;    -     ;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + COP
ACEBROFILINA;508013120101205;1004310860022;7891317485153;    -     ;    -     ;FILINAR G;5 MG/ML GEL OR CT FR PLAS TRANS X 120ML + COL
ACEBROFILINA;508015902134418;1004311580015;7891317181604;    -     ;    -     ;FILINAR;5 MG/ML XPE CT FR VD AMB X 120 ML + COP
ACEBROFILINA;508015901138411;1004311580023;7891317181611;    -     ;    -     ;FILINAR;10 MG/ML XPE CT FR VD AMB X 120 ML + COP
ACEBROFILINA;507728901136116;1023506580010;7896004767703;    -     ;    -     ;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + COP
ACEBROFILINA;507728902132114;1023506580029;7896004767697;    -     ;    -     ;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + COP
