desc;und;quant;valor_unit;valor_total
"ABAIXADOR  LÍNGUA,  MATERIAL:  MADEIRA, 
TIPO: DESCARTÁVEL, COMPRIMENTO: 14 CM, 
FORMATO:  TIPO  ESPÁTULA,  LARGURA:  1,50 
CM,  ESPESSURA:  2  MM  (ITEM  EXCLUSIVO  – 
ME/EPP)";PCT;900;R$ 7,58;R$ 6.822,00
"ACICLOVIR, 
DOSAGEM: 
200 
MG(ITEM 
EXCLUSIVO – ME/EPP)";FRA;4500;R$ 0,25;R$ 1.125,00
"ÁCIDO 
ASCÓRBICO, 
DOSAGEM: 
500  MG 
(ITEM EXCLUSIVO – ME/EPP)";COM;7000;R$ 0,18;R$ 1.260,00
"ÁCIDO 
FÓLICO,  DOSAGEM: 
5  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;72000;R$ 0,07;R$ 5.040,00
"ÁCIDO 
VALPRÓICO, 
DOSAGEM: 
250  MG 
(ITEM EXCLUSIVO – ME/EPP)";COM;27000;R$ 0,51;R$ 13.770,00
"ÁCIDO 
VALPRÓICO, 
DOSAGEM: 
500  MG 
(ITEM EXCLUSIVO – ME/EPP)";COM;27000;R$ 0,94;R$ 25.380,00
"ÁCIDO  ASCÓRBICO,  DOSAGEM:  200  MG,ML, 
TIPO  USO:  SOLUÇÃO  ORAL  -  FRASCO  20  ML 
(ITEM EXCLUSIVO – ME/EPP)";FRA;9000;R$ 1,73;R$ 15.570,00
"ÁCIDO  TRANEXÂMICO  50  MG  5ML 
(ITEM 
EXCLUSIVO – ME/EPP)";AMP;800;R$ 6,77;R$ 5.416,00
"ÁCIDO  VALPRÓICO,  DOSAGEM:  50  MG/  5  ML 
XAROPE 
100  ML 
(ITEM 
EXCLUSIVO 
– 
ME/EPP)";UND;4500;R$ 7,09;R$ 31.905,00
"ADENOSINA, DOSAGEM3  MGML, INDICAÇÃO 
SOLUÇÃO  INJETÁVEL  (ITEM  EXCLUSIVO  – 
ME/EPP)";AMP;4500;R$ 14,02;R$ 63.090,00
"ÁGUA  PARA  INJEÇÃO  BI-DESTILADA  10  ML 
(ITEM EXCLUSIVO – ME/EPP)";UND;72000;R$ 0,83;R$ 59.760,00
"AGULHA  HIPODÉRMICA,  DIMENSÃO:  26  G  X 
1/2"", 
TIPO 
PONTA: 
BISEL 
CURTO 
TRIFACETADO,  TIPO  CONEXÃO:  CONECTOR 
LUER  LOCK  EM  PLÁSTICO,  TIPO  FIXAÇÃO: 
PROTETOR 
PLÁSTICO, 
CARACTERÍSTICA 
ADICIONAL: 
COM 
SISTEMA 
SEGURANÇA 
SEGUNDO NR (ITEM EXCLUSIVO – ME/EPP)";CX;270;R$ 8,43;R$ 2.276,10
"AGULHA  HIPODÉRMICA,  MATERIAL:  AÇO 
INOXIDÁVEL  SILICONIZADO,  DIMENSÃO:  22 
G 
X 
1"", 
TIPO 
PONTA:BISEL 
CURTO 
TRIFACETADO,  TIPO  CONEXÃO:  CONECTOR 
LUER 
LOCK 
EM 
PLÁSTICO, 
TIPO 
FIXAÇÃO: 
PROTETOR 
PLÁSTICO, 
CARACTERÍSTICA 
ADICIONAL: 
COM  SISTEMA  SEGURANÇA  SEGUNDO  NR/3 
(ITEM EXCLUSIVO – ME/EPP)";CX;210;R$ 8,56;R$ 1.797,60
"ALBENDAZOL,  DOSAGEM: 
400  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;10000;R$ 0,53;R$ 5.300,00
"ALBENDAZOL,  DOSAGEM:  40  MG,ML,  USO: 
SUSPENSÃO  ORAL  -  FRASCO  10  ML  (ITEM 
EXCLUSIVO – ME/EPP)";FRA;4500;R$ 2,37;R$ 10.665,00
"ALPRAZOLAM, 
DOSAGEM: 
1  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;18000;R$ 0,10;R$ 1.800,00
"AMBROXOL, 
COMPOSIÇÃO: 
SAL 
CLORIDRATO,  CONCENTRAÇÃO:  3  MG,ML, 
FORMA  FARMACÊUTICA:XAROPE  -  FRASCO 
100 ML (ITEM EXCLUSIVO – ME/EPP)";FRA;4500;R$ 9,33;R$ 41.985,00
"AMBROXOL, 
COMPOSIÇÃO: 
SAL 
CLORIDRATO,  CONCENTRAÇÃO:  6  MG,ML, 
FORMA  FARMACÊUTICA:XAROPE  -  FRASCO 
100 ML (ITEM EXCLUSIVO – ME/EPP)";FRA;4500;R$ 8,97;R$ 40.365,00
"AMINOFILINA, 
DOSAGEM100 
MG 
(ITEM 
EXCLUSIVO – ME/EPP)";AMP;2700;R$ 0,17;R$ 459,00
"AMIODARONA, 
DOSAGEM50MGML, 
INDICAÇÃO INJETÁVEL (ITEM EXCLUSIVO – 
ME/EPP)";AMP;900;R$ 2,60;R$ 2.340,00
"AMITRIPTILINA 
CLORIDRATO, 
APRESENTAÇÃO: 
ASSOCIADA 
COM 
CLORDIAZEPÓXIDO,  DOSAGEM: 
12,5MG 
+ 
5MG (ITEM EXCLUSIVO – ME/EPP)";COM;110000;R$ 0,48;R$ 52.800,00
"AMITRIPTILINA  CLORIDRATO,  DOSAGEM:  25 
MG (ITEM EXCLUSIVO – ME/EPP)";COM;100000;R$ 0,32;R$ 32.000,00
"AMOXICILINA 
+ 
CLAVULANATO 
DE 
POTÁSSIO, CONCENTRAÇÃO: 50 MG,ML + 12,5 
MG,ML,  SUSPENSÃO  ORAL  -  FRASCO  100  ML 
(ITEM EXCLUSIVO – ME/EPP)";FRA;1800;R$ 19,19;R$ 34.542,00
"AMOXICILINA, 
CONCENTRAÇÃO: 
500MG 
(ITEM EXCLUSIVO – ME/EPP)";COM;54000;R$ 0,78;R$ 42.120,00
"AMOXICILINA,  CONCENTRAÇÃO:  50MG,  ML, 
APRESENTAÇÃO: 
PÓ 
PARA 
SUSPENSÃO 
ORAL  -  FRASCO  60ML  (ITEM  EXCLUSIVO  – 
ME/EPP)";FRA;2700;R$ 11,13;R$ 30.051,00
"AMPICILINA 
SÓDICA 
PÓ 
PARA 
SOLUÇÃO 
INJETÁVEL 1G (ITEM EXCLUSIVO – ME/EPP)";AMP;1100;R$ 3,51;R$ 3.861,00
"ANLODIPINO  BESILATO,  DOSAGEM:  10  MG 
(ITEM EXCLUSIVO – ME/EPP)";COM;72000;R$ 0,07;R$ 5.040,00
"ANLODIPINO  BESILATO,  DOSAGEM:  5  MG 
(ITEM EXCLUSIVO – ME/EPP)";COM;270000;R$ 0,05;R$ 13.500,00
"ATADURA, 
TIPO 
1: 
CREPOM,  MATERIAL 
1:100% 
ALGODÃO, 
DIMENSÕES: 
15 
CM, 
GRAMATURA  1:  CERCA  DE  13  FIOS/  CM2,";PCT;2750;R$ 11,13;R$ 30.607,50
"ATADURA, 
TIPO 
1: 
CREPOM,  MATERIAL 
1:100% 
ALGODÃO, 
DIMENSÕES: 
20 
CM, 
GRAMATURA  1:  CERCA  DE  13  FIOS/  CM2, 
EMBALAGEM: 
EMBALAGEM 
INDIVIDUAL  
(COTA RESERVADA PARA ME/EPP DO ITEM 
160)";UND;2250;R$ 15,17;R$ 34.132,50
"ATENOLOL, 
DOSAGEM: 
100 
MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;45000;R$ 0,19;R$ 8.550,00
"ATENOLOL, 
DOSAGEM: 
50 
MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;45000;R$ 0,08;R$ 3.600,00
"ATROPINA  SULFATO,  DOSAGEM  0,25  MGML, 
USO 
SOLUÇÃO 
INJETÁVEL 
(ITEM 
EXCLUSIVO – ME/EPP)";AMP;900;R$ 2,73;R$ 2.457,00
"ATROPINA  SULFATO,  DOSAGEM  0,50  MGML, 
USO 
SOLUÇÃO 
INJETÁVEL 
(ITEM 
EXCLUSIVO – ME/EPP)";AMP;1800;R$ 7,77;R$ 13.986,00
"AZITROMICINA, 
DOSAGEM: 
40 
MG,ML, 
APRESENTAÇÃO: 
SUSPENSÃO 
ORAL 
- 
FRASCO 15 ML (ITEM EXCLUSIVO – ME/EPP)";FRA;4500;R$ 13,05;R$ 58.725,00
"AZITROMICINA,  DOSAGEM:  500  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;27000;R$ 1,14;R$ 30.780,00
"BENZILPENICILINA  BENZATINA  600  UI  S/D 
(AMPLA CONCORRÊNCIA)";UND;20250;R$ 9,98;R$ 202.095,00
"BENZILPENICILINA  BENZATINA  600  UI  S/D 
(COTA RESERVADA - ME/EPP DO ITEM 85)";UND;6750;R$ 9,98;R$ 67.365,00
"BENZILPENICILINA, 
APRESENTAÇÃO: 
BENZATINA,  DOSAGEM: 
1.200.000UI,  USO: 
INJETÁVEL (ITEM EXCLUSIVO – ME/EPP)";AMP;4500;R$ 13,65;R$ 61.425,00
"BENZOATO  DE  BENZILA,  DOSAGEM:  25%, 
FORMA FARMACÊUTICA: EMULSÃO TÓPICA - 
FRASCO 
100  ML 
(ITEM 
EXCLUSIVO 
– 
ME/EPP)";FRA;4500;R$ 8,05;R$ 36.225,00
"BIPERIDENO, 
DOSAGEM: 
2 
MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;80000;R$ 0,25;R$ 20.000,00
"BROMAZEPAM, 
DOSAGEM: 
3  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;90000;R$ 0,16;R$ 14.400,00
"BROMAZEPAM, 
DOSAGEM: 
6  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;90000;R$ 0,20;R$ 18.000,00
"BROMOPRIDA, 
DOSAGEM 
10  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";AMP;4500;R$ 2,72;R$ 12.240,00
"CAMPO OPERATÓRIO NÃO ESTERIL COM FIO 
RADIOPACO,  4  CAMADAS  COM  CADARÇO, 
100%  PURO  ALGODÃO,  MACIO  E  EXTRA-
ABSORVENTE,  TAMANHO  45  CM  X  50CM, 
PACOTE  CONTENDO 
50  UNIDADE. 
(COTA 
RESERVADA PARA ME/EPP DO ITEM 168)";PCT;450;R$ 81,14;R$ 36.513,00
"CARBAMAZEPINA, 
CONCENTRAÇÃO: 
20 
MG,ML,  FORMA  FARMACEUTICA:  XAROPE  - 
FRASCO 
100  ML 
(ITEM 
EXCLUSIVO 
– 
ME/EPP)";FRA;270;R$ 11,48;R$ 3.099,60
"CARBAMAZEPINA, DOSAGEM: 200 MG (ITEM 
EXCLUSIVO – ME/EPP)";COM;80000;R$ 0,32;R$ 25.600,00
"CARVEDILOL,  DOSAGEM: 
6,25  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;5400;R$ 0,13;R$ 702,00
"CEFALEXINA,  DOSAGEM: 
500  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";CÁP;36000;R$ 0,88;R$ 31.680,00
"CEFALEXINA,  DOSAGEM:  50  MG,ML,  FORMA 
FARMACÊUTICA:  PÓ  P,  SUSPENSÃO  ORAL  - 
FRASCO  60  ML 
(COTA  RESERVADA  PARA 
ME/EPP DO ITEM 27)";FRA;9000;R$ 18,00;R$ 162.000,00
"CEFALEXINA,  DOSAGEM:  50  MG,ML,  FORMA 
FARMACÊUTICA:  PÓ  P,  SUSPENSÃO  ORAL  - 
FRASCO 60 ML (AMPLA CONCORRÊNCIA)";FRA;27000;R$ 18,00;R$ 486.000,00
"CEFALOTINA SÓDICA, 1 G, INJETÁVEL (ITEM 
EXCLUSIVO – ME/EPP)";AMP;4500;R$ 6,06;R$ 27.270,00
"CEFTRIAXONA SÓDICA, CONCENTRAÇÃO 1G, 
FORMA 
FARMACEUTICA 
PÓ 
P 
SOLUÇÃO 
INJETÁVEL + DILUENTE (ITEM EXC ME/EPP)";AMP;9000;R$ 5,54;R$ 49.860,00
"CETOCONAZOL, DOSAGEM: 20 MG,G, FORMA 
FARMACÊUTICA:  CREME  TÓPICO  -  BISNAGA 
30 GRAMAS (ITEM EXCLUSIVO – ME/EPP)";BIS;1800;R$ 4,21;R$ 7.578,00
"CETOPROFENO 
50MG/ML  AMP  DE 
2  ML 
(ITEM EXCLUSIVO – ME/EPP)";AMP;5500;R$ 4,06;R$ 22.330,00
"CETOPROFENO,  CONCENTRAÇAO  50  MGML, 
FORMA 
FARMACEUTICA 
SOLUÇÃO 
INJETÁVEL (ITEM EXCLUSIVO – ME/EPP)";AMP;4900;R$ 3,95;R$ 19.355,00
"CIMETIDINA, 
DOSAGEM: 
200  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;45000;R$ 0,39;R$ 17.550,00
"CIPROFLOXACINO  CLORIDRATO,  DOSAGEM 
250 MG (ITEM EXCLUSIVO – ME/EPP)";AMP;900;R$ 18,08;R$ 16.272,00
"CIPROFLOXACINO  CLORIDRATO,  DOSAGEM: 
500 MG (ITEM EXCLUSIVO – ME/EPP)";COM;45000;R$ 0,34;R$ 15.300,00
"CLINDAMICINA, 
DOSAGEM 
150 
MGML, 
APRESENTAÇÃO SOLUÇÃO INJETÁVEL(ITEM 
EXCLUSIVO – ME/EPP)";AMP;1000;R$ 3,82;R$ 3.820,00
"CLONAZEPAM, 
DOSAGEM: 
2  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;180000;R$ 0,06;R$ 10.800,00
"CLONAZEPAM, 
DOSAGEM: 
2,5 
MG,ML, 
APRESENTAÇÃO:  SOLUÇÃO  ORAL-  GOTAS  - 
FRASCO 20 ML (ITEM EXCLUSIVO – ME/EPP)";UND;270;R$ 3,32;R$ 896,40
"CLONAZEPAM,  DOSAGEM: 
0,5  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;110000;R$ 0,10;R$ 11.000,00
"CLONIDINA  CLORIDRATO,  CONCENTRAÇÃO: 
0,1 MG (ITEM EXCLUSIVO – ME/EPP)";COM;8000;R$ 0,33;R$ 2.640,00
"CLORETO  DE  POTÁSSIO,  DOSAGEM:  19,1%, 
APRESENTAÇÃO: 
SOLUÇÃO 
INJETÁVEL 
(ITEM EXCLUSIVO – ME/EPP)";AMP;4500;R$ 0,64;R$ 2.880,00
"CLORETO  DE  SÓDIO  SOL.  INJ.  0,9%  FRASCO 
250ML 
SIST. 
FECHADO 
(AMPLA 
CONCORRÊNCIA)";AMP;27000;R$ 17,15;R$ 463.050,00
"CLORETO  DE  SÓDIO  SOL.  INJ.  0,9%  FRASCO 
250ML  SIST.  FECHADO  (COTA  RESERVADA 
PARA ME/EPP DO ITEM 119)";AMP;9000;R$ 17,15;R$ 154.350,00
"CLORETO  DE  SÓDIO,  DOSAGEM  20%,  USO 
SOLUÇÃO  INJETÁVEL  (ITEM  EXCLUSIVO  – 
ME/EPP)";AMP;8000;R$ 0,66;R$ 5.280,00
"CLORETO  DE  SÓDIO,  PRINCÍPIO  ATIVO0,9%_ 
SOLUÇÃO  INJETÁVEL,  APLICAÇÃO  SISTEMA 
FECHADO 100 ML (AMPLA CONCORRÊNCIA)";UND;10500;R$ 16,08;R$ 168.840,00
"CLORETO  DE  SÓDIO,  PRINCÍPIO  ATIVO0,9%_ 
SOLUÇÃO  INJETÁVEL,  APLICAÇÃO  SISTEMA 
FECHADO 100 ML (COTA RESERVADA PARA 
ME/EPP DO ITEM 89)";UND;3500;R$ 16,08;R$ 56.280,00
"CLORETO DE SÓDIO, PRINCÍPIO ATIVO: 0,9%_ 
SOLUÇÃO 
INJETÁVEL, 
10  MLAPLICAÇÃO: 
FRASCO  COM  ABERTURA  TWIST  OFF  (ITEM 
EXCLUSIVO – ME/EPP)";AMP;2700;R$ 0,58;R$ 1.566,00
"CLORETO DE SÓDIO, PRINCÍPIO ATIVO: 0,9%_ 
SOLUÇÃO INJETÁVEL, APLICAÇÃO: SISTEMA 
FECHADO 
500  ML 
(ITEM  EXCLUSIVO 
– 
ME/EPP)";AMP;3800;R$ 19,21;R$ 72.998,00
"CLORIDRATO  DE  NALOXONA 
0,4  MG/ML 
AMPOLAS 
1  ML 
(ITEM 
EXCLUSIVO 
– 
ME/EPP)";AMP;80;R$ 8,02;R$ 641,60
"CLORPROMAZINA, 
DOSAGEM:5 
MG/ML, 
APRESENTAÇÃO:SOLUÇÃO 
INJETÁVEL 
(ITEM EXCLUSIVO – ME/EPP)";AMP;400;R$ 2,28;R$ 912,00
"CLORPROMAZINA,  DOSAGEM:  25  MG  (ITEM 
EXCLUSIVO – ME/EPP)";COM;40000;R$ 0,34;R$ 13.600,00
"CLORPROMAZINA, DOSAGEM: 100 MG (ITEM 
EXCLUSIVO – ME/EPP)";COM;40000;R$ 0,35;R$ 14.000,00
"COLAGENASE,  APRESENTAÇÃO  ASSOCIADA 
COM 
CLORANFENICOL, 
CONCENTRAÇÃO 
0,6UI + 1%, USO POMADA (ITEM EXCLUSIVO 
– ME/EPP)";BIS;2700;R$ 16,85;R$ 45.495,00
"COLAGENASE,  APRESENTAÇÃO:  ASSOCIADA 
COM 
CLORANFENICOL, 
CONCENTRAÇÃO: 
0,6UI  +  1%,  USO:  POMADA 
-  BISNAGA  30";BIS;1000;R$ 16,59;R$ 16.590,00
"COLETOR  DE  URINA,  MATERIAL  :PLÁSTICO, 
TIPO: 
SISTEMA 
ABERTO, 
CAPACIDADE: 
CERCA 
DE 
2000 
ML, 
GRADUAÇÃO: 
GRADUAÇÃO 
DE 
100 
EM 
100 
ML, 
ESTERILIDADE: 
NÃO 
ESTÉRIL, 
DESCARTÁVEL 
(COTA  RESERVADA  PARA 
ME/EPP DO ITEM 188)";UND;4500;R$ 5,95;R$ 26.775,00
"DESLANOSÍDEO  0,2  MG/ML  AMPOLA  2  ML 
(ITEM EXCLUSIVO – ME/EPP)";AMP;11000;R$ 2,71;R$ 29.810,00
"DEXAMETASONA, 
DOSAGEM4 
MGML, 
FORMA 
FARMACÊUTICA 
SOLUÇÃO 
INJETÁVEL (ITEM EXCLUSIVO – ME/EPP)";AMP;15000;R$ 4,77;R$ 71.550,00
"DEXAMETASONA, 
DOSAGEM: 
0,1%, 
APRESENTAÇÃO:  CREME 
-  BISNAGA  10  G 
(ITEM EXCLUSIVO – ME/EPP)";BIS;5400;R$ 1,80;R$ 9.720,00
"DEXAMETASONA,  DOSAGEM: 
0,1  MG,ML, 
APRESENTAÇÃO:  ELIXIR 
-  FRASCO  120ML 
(ITEM EXCLUSIVO – ME/EPP)";FRA;2700;R$ 5,23;R$ 14.121,00
"DEXAMETASONA, CONCENTRAÇÃO 2 MGML, 
FORMA 
FARMACÊUTICA 
SOLUÇÃO 
INJETÁVEL (ITEM EXCLUSIVO – ME/EPP)";AMP;13000;R$ 3,03;R$ 39.390,00
"DEXCLORFENIRAMINA 
MALEATO, 
COMPOSIÇÃO: 
ASSOCIADA 
À 
BETAMETASONA, CONCENTRAÇÃO: 0,4 MG + 
0,05 
MG,ML, 
FORMA 
FARMACÊUTICA: 
XAROPE 
- 
FRASCO 
120 
ML 
(ITEM 
EXCLUSIVO – ME/EPP)";FRA;9000;R$ 3,62;R$ 32.580,00
"DEXCLORFENIRAMINA 
MALEATO, 
DOSAGEM: 
0,4  MG,ML, 
APRESENTAÇÃO: 
SOLUÇÃO  ORAL 
-  FRASCO  100  ML 
(ITEM 
EXCLUSIVO – ME/EPP)";FRA;7000;R$ 3,07;R$ 21.490,00
"DIAZEPAM, 
DOSAGEM: 
10 
MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;80000;R$ 0,09;R$ 7.200,00
"DIAZEPAM, DOSAGEM: 10 MG - FRASCO 2 ML 
(ITEM EXCLUSIVO – ME/EPP)";AMP;700;R$ 0,97;R$ 679,00
"DICLOFENACO, 
APRESENTAÇÃO: 
SAL 
SÓDICO, 
DOSAGEM: 
75MG 
(ITEM 
EXCLUSIVO – ME/EPP)";AMP;17000;R$ 2,09;R$ 35.530,00
"DIGOXINA, 
DOSAGEM: 
0,25 
MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;7200;R$ 0,24;R$ 1.728,00
"DIPIRONA 
SÓDICA,  DOSAGEM: 
500  MG 
- 
FRASCO 10 ML (ITEM EXCLUSIVO – ME/EPP)";FRA;6300;R$ 1,52;R$ 9.576,00
"DIPIRONA  SÓDICA,  DOSAGEM:  50  MG,ML, 
APRESENTAÇÃO:  SOLUÇÃO  ORAL  -  FRASCO 
100 ML (ITEM EXCLUSIVO – ME/EPP)";FRA;22000;R$ 3,30;R$ 72.600,00
"DIPIRONA  SÓDICA,  DOSAGEM:  500  MG,ML, 
APRESENTAÇÃO: 
SOLUÇÃO 
INJETÁVEL 
(AMPLA CONCORRÊNCIA)";AMP;20250;R$ 3,45;R$ 69.862,50
"DIPIRONA  SÓDICA,  DOSAGEM:  500  MG,ML, 
APRESENTAÇÃO: 
SOLUÇÃO 
INJETÁVEL 
(COTA RESERVADA - ME/EPP DO ITEM 124)";AMP;6750;R$ 3,45;R$ 23.287,50
"DIPIRONA SÓDICA, DOSAGEM: 500 MG (ITEM 
EXCLUSIVO – ME/EPP)";COM;78000;R$ 0,17;R$ 13.260,00
"DIVALPROATO DE SÓDIO, DOSAGEM: 500 MG 
(ITEM EXCLUSIVO – ME/EPP)";COM;1000;R$ 1,10;R$ 1.100,00
"DOBUTAMINA  CLORIDRATO, DOSAGEM: 12,5 
MG/ML, 
INDICAÇÃO: 
INJETÁVEL 
(ITEM 
EXCLUSIVO – ME/EPP)";AMP;1900;R$ 9,80;R$ 18.620,00
"DOPAMINA, 
DOSAGEM: 
5 
MG/ML, 
APRESENTAÇÃO: 
SOLUÇÃO 
INJETÁVEL 
(ITEM EXCLUSIVO – ME/EPP)";AMP;1900;R$ 11,35;R$ 21.565,00
"ENALAPRIL  MALEATO,  DOSAGEM: 
5  MG 
(ITEM EXCLUSIVO – ME/EPP)";COM;13000;R$ 0,07;R$ 910,00
"ENOXAPARINA  SÓDICA 
  40  MG  SERINGA 
PREENCHIDAS 
COM 
SISTEMA 
DE 
SEGURANÇA (ITEM EXCLUSIVO – ME/EPP)";AMP;1800;R$ 22,50;R$ 40.500,00
"ENOXAPARINA  SÓDICA 
  60  MG  SERINGA 
PREENCHIDAS 
COM 
SISTEMA 
DE 
SEGURANÇA (ITEM EXCLUSIVO – ME/EPP)";AMP;1800;R$ 32,35;R$ 58.230,00
"EPINEFRINA, 
CONCENTRAÇÃO: 
1  MG,ML, 
FORMA 
FARMACEUTICA: 
SOLUÇÃO 
INJETÁVEL,  CARACTERÍSTICA  ADICIONAL: 
COM 
CANETA 
APLICADORA 
(ITEM 
EXCLUSIVO – ME/EPP)";AMP;2700;R$ 1,39;R$ 3.753,00
"ESCOPOLAMINA 
BUTILBROMETO, 
APRESENTAÇÃO: 
ASSOCIADA 
COM 
DIPIRONA 
SÓDICA, 
DOSAGEM: 
4MG 
+ 
500MG,ML, 
INDICAÇÃO: 
SOLUÇÃO 
INJETÁVEL 
- 
AMPOLA 
5ML 
(ITEM 
EXCLUSIVO – ME/EPP)";UND;4500;R$ 3,95;R$ 17.775,00
"ESCOPOLAMINA 
BUTILBROMETO, 
DOSAGEM: 
10  MG 
(ITEM  EXCLUSIVO 
– 
ME/EPP)";COM;8000;R$ 0,76;R$ 6.080,00
"ESCOPOLAMINA 
BUTILBROMETO, 
DOSAGEM: 20 MG,ML, INDICAÇÃO: SOLUÇÃO 
INJETÁVEL 
- 
AMPOLA 
1,0 
ML 
(ITEM 
EXCLUSIVO – ME/EPP)";UND;2300;R$ 2,01;R$ 4.623,00
