catmat;desc;und;quant;valor_unit;valor_total
271689;"ÁCIDO 
ASCÓRBICO 
concentração/dosagem 
200 
mg/mL, 
forma 
farmacêutica 
Solução  Oral 
- 
(Gotas) via de administração oral";Frasco 20 mL;198500;R$ 1,34;265990
278489;"ÁCIDO  FÓLICO  concentração/dosagem 
0,2 mg/mL, forma farmacêutica Solução, 
via de administração oral.";FRASCO 30 mL;213400;R$ 4,30;917620
315056;ÁGUA PARA INJEÇÃO;AMPOLA 10 mL;2311400;R$ 0,28;647192
397502;"AGULHA 
HIPODÉRMICA, 
MATERIAL:AÇO 
INOXIDÁVEL 
SILICONIZADO,  DIMENSÃO:21  G  X  1"", 
TIPO 
PONTA:BISEL 
CURTO 
TRIFACETADO, 
TIPO 
CONEXÃO:CONECTOR LUER LOCK EM 
PLÁSTICO,  TIPO  FIXAÇÃO:PROTETOR 
PLÁSTICO, 
CARACTERÍSTICA 
ADICIONAL:COM 
SISTEMA 
SEGURANÇA  SEGUNDO  NR/32,  TIPO 
USO:ESTÉRIL, 
DESCARTÁVEL, 
EMBALAGEM INDIVIDUAL";"CAIXA COM 100 
UNIDADES";135900;R$ 9,44;1282896
269941;"ÁLCOOL 
ETÍLICO, 
HIDRATADO, 
70%(70°GL), LÍQUIDO";"FRASCO COM 
1000 ML";200654;R$ 5,39;1081525,06
269943;"ÁLCOOL 
ETÍLICO, 
HIDRATADO, 
70%_(70¿GL), GEL";"FRASCO COM 
500 ML";62016;R$ 5,45;337987,2
267509;"ALOPURINOL 
concentração/dosagem 
300 
mg, 
forma 
farmacêutica 
Comprimido, via de administração oral.";COMPRIMIDO;377200;R$ 0,30;113160
446264;"AMBROXOL, 
CLORIDRATO 
concentração/dosagem 3 mg/mL , forma 
farmacêutica 
Xarope, 
via 
de 
administração oral";FRASCO 100 mL;224610;R$ 3,02;678322,2
446263;"AMBROXOL, 
CLORIDRATO 
concentração/dosagem 6 mg/mL,  forma 
farmacêutica 
Xarope, 
via 
de 
administração oral";FRASCO 100 mL;220710;R$ 3,19;704064,9
267582;"BECLOMETASONA  –  DIPROPIONATO 
concentração/dosagem 
50  mcg/dose, 
forma  farmacêutica  Aerossol  ou  spray, 
via de administração inalatória NASAL.";"FRASCO 200 
doses";26040;R$ 23,39;609075,6
267587;"BECLOMETASONA  –  DIPROPIONATO 
concentração/dosagem  200  mcg/dose, 
forma  farmacêutica  pó  para  inalação  - 
ORAL via de administração inalatória.";"FRASCO 200 
doses";28680;R$ 25,04;718147,2
267590;"BECLOMETASONA  –  DIPROPIONATO 
concentração/dosagem  250  mcg/dose, 
forma  farmacêutica  Aerossol  ou  spray, 
via de administração inalatória. NASAL";"FRASCO 200 
doses";35193;R$ 26,98;949507,14
270140;"BIPERIDENO 
– 
CLORIDRATO 
concentração/dosagem 
2  mg, 
forma 
farmacêutica 
Comprimido, 
via 
de 
administração oral.";COMPRIMIDO;4246000;R$ 0,22;934120
270138;"BIPERIDENO 
– 
LACTATO 
concentração/dosagem 5 mg/mL ,forma 
farmacêutica  Solução 
injetável,  via  de 
administração parenteral.";AMPOLA 1 mL;45900;R$ 2,20;100980
266701;"BUDESONIDA 
concentração/dosagem 
50  mcg, 
forma 
farmacêutica  Aerossol 
nasal, 
via 
de 
administração 
tópica/inalatória.";"FRASCO 120 
doses";50631;R$ 25,40;1286027,4
